reporter_code,total_exports,year
CZE,55753046,2019
CZE,965693279,2019
CZE,953189268,2019
CZE,7584695868,2019
CZE,55427441,2019
CZE,530516,2019
CZE,986649622,2019
CZE,320101414,2019
CZE,115858362,2019
CZE,19892091,2019
CZE,458710618,2019
CZE,60948142,2019
CZE,7209963,2019
CZE,7759420,2019
CZE,52102576,2019
CZE,107102,2019
CZE,294915826,2019
CZE,621868,2019
CZE,13356808,2019
CZE,779258733,2019
CZE,272799186,2019
CZE,2538554,2019
CZE,2184376,2019
CZE,683453,2019
CZE,199490235,2019
CZE,6402859,2019
CZE,9811847,2019
CZE,30729537,2019
CZE,1172961,2019
CZE,11356161,2019
CZE,824294885,2019
CZE,244929707,2019
CZE,18948365,2019
CZE,110008769,2019
CZE,38286818,2019
CZE,2174,2019
CZE,430177341,2019
CZE,2408808,2019
CZE,56621201,2019
CZE,2798715,2019
CZE,3778212,2019
CZE,7548042809,2019
CZE,392664,2019
CZE,156487,2019
CZE,250492,2019
CZE,4671254,2019
CZE,44401,2019
CZE,109864929,2019
CZE,783329,2019
CZE,2389215,2019
CZE,105225859,2019
CZE,10532801,2019
CZE,2349107,2019
CZE,863073447,2019
CZE,36966,2019
CZE,20129,2019
CZE,67395047,2019
CZE,6706205,2019
CZE,1724107,2019
CZE,7458035,2019
CZE,56465345,2019
CZE,113641241,2019
CZE,12027950281,2019
CZE,748034598,2019
CZE,25135,2019
CZE,17513,2019
CZE,102494263,2019
CZE,3067559844,2019
CZE,4303006082,2019
CZE,1613252,2019
CZE,333616,2019
CZE,726916,2019
CZE,1420,2019
CZE,1682,2019
CZE,9913,2019
CZE,14030,2019
CZE,4251,2019
CZE,1605749,2019
CZE,465318202,2019
CZE,16800546,2019
CZE,759527668,2019
CZE,1323176,2019
CZE,53326,2019
CZE,643373276,2019
CZE,352840838,2019
CZE,15099747903,2019
CZE,72890356,2019
CZE,975795551,2019
CZE,397443,2019
CZE,719875156,2019
CZE,2454076,2019
CZE,6400521575,2019
CZE,179233,2019
CZE,11028276,2019
CZE,1388611,2019
CZE,833910,2019
CZE,3268348205,2019
CZE,3074123076,2019
CZE,5618890,2019
CZE,6414070,2019
CZE,165191482,2019
CZE,3420705,2019
CZE,1937816,2019
CZE,666082430,2019
CZE,171810547,2019
CZE,1925861858,2019
CZE,7063877,2019
CZE,525367,2019
CZE,14901926,2019
CZE,1524234360,2019
CZE,161449003,2019
CZE,395911422,2019
CZE,8990745019,2019
CZE,10921313,2019
CZE,109649008,2019
CZE,4639264969,2019
CZE,5776302,2019
CZE,7203622,2019
CZE,70292962,2019
CZE,1880143,2019
CZE,2202,2019
CZE,559189,2019
CZE,6073344,2019
CZE,5208169,2019
CZE,9162785,2019
FRA,26441852.039,2019
FRA,55125530.267,2019
FRA,3372396.082,2019
FRA,5512627641.022,2019
FRA,109075.365,2019
FRA,249584372.623,2019
FRA,286664623.664,2019
FRA,18480873.081,2019
FRA,160478489.88,2019
FRA,708631366.983,2019
FRA,2967580157.657,2019
FRA,4507350499.277,2019
FRA,38274383.386,2019
FRA,471822598.07,2019
FRA,295238920.767,2019
FRA,60289370.625,2019
FRA,11822483.797,2019
FRA,38344195380.359,2019
FRA,15662829.889,2019
FRA,19278079.073,2019
FRA,100539815.011,2019
FRA,98200479.224,2019
FRA,118987606.418,2019
FRA,24.632,2019
FRA,4634470405.785,2019
FRA,2474180.531,2019
FRA,18816.483,2019
FRA,11902315.575,2019
FRA,114063131.519,2019
FRA,9318125.909,2019
FRA,1052752559.132,2019
FRA,167255959.533,2019
FRA,8538439.869,2019
FRA,173324495.853,2019
FRA,226638057.928,2019
